Word	Classification
creator	Oxford 5000 Expanded (C1)
critically	Oxford 5000 Expanded (B2)
crumb	External Word (Not in Oxford 3000/5000)
cucumber	External Word (Not in Oxford 3000/5000)
cue	Spelling/Format Variant
curator	External Word (Not in Oxford 3000/5000)
curiosity	Oxford 5000 Expanded (C1)
curriculum	Oxford 5000 Expanded (B2)
customs	External Word (Not in Oxford 3000/5000)
cute	Oxford 5000 Expanded (B2)
cv	External Word (Not in Oxford 3000/5000)
cycling	External Word (Not in Oxford 3000/5000)
cyclist	External Word (Not in Oxford 3000/5000)
database	Oxford 5000 Expanded (B2)
datum	External Word (Not in Oxford 3000/5000)
deadline	Oxford 5000 Expanded (B2)
dearly	External Word (Not in Oxford 3000/5000)
debit	External Word (Not in Oxford 3000/5000)
deck	Oxford 5000 Expanded (B2)
dedication	Oxford 5000 Expanded (C1)
delightful	External Word (Not in Oxford 3000/5000)
democracy	Oxford 5000 Expanded (B2)
democratic	Oxford 5000 Expanded (B2)
demonstration	Oxford 5000 Expanded (B2)
dense	Oxford 5000 Expanded (C1)
depression	Oxford 5000 Expanded (B2)
determination	Oxford 5000 Expanded (B2)
developer	External Word (Not in Oxford 3000/5000)
dignity	Oxford 5000 Expanded (C1)
diploma	External Word (Not in Oxford 3000/5000)
diplomacy	External Word (Not in Oxford 3000/5000)
disagreement	Oxford 5000 Expanded (B2)
disk	Spelling/Format Variant
distant	Oxford 5000 Expanded (B2)
distraction	External Word (Not in Oxford 3000/5000)
diversity	Oxford 5000 Expanded (B2)
dizzy	External Word (Not in Oxford 3000/5000)
donation	Oxford 5000 Expanded (B2)
dormatory	External Word (Not in Oxford 3000/5000)
downtown	Oxford 5000 Expanded (B2)
dumping	External Word (Not in Oxford 3000/5000)
dumpling	External Word (Not in Oxford 3000/5000)
dynamic	Oxford 5000 Expanded (B2, C1)
editing	External Word (Not in Oxford 3000/5000)
efficiency	Oxford 5000 Expanded (C1)
efficiently	Oxford 5000 Expanded (B2)
elbow	Oxford 5000 Expanded (B2)
elective	External Word (Not in Oxford 3000/5000)
elegant	Oxford 5000 Expanded (B2)
embassy	Oxford 5000 Expanded (C1)
encryption	External Word (Not in Oxford 3000/5000)
energetic	External Word (Not in Oxford 3000/5000)
enforcement	Oxford 5000 Expanded (C1)
engaging	Oxford 5000 Expanded (C1)
english	External Word (Not in Oxford 3000/5000)
enjoyable	Oxford 5000 Expanded (B2)
envelope	Oxford 5000 Expanded (B2)
equality	Oxford 5000 Expanded (C1)
eraser	External Word (Not in Oxford 3000/5000)
ethnic	Oxford 5000 Expanded (B2)
evasion	External Word (Not in Oxford 3000/5000)
examiner	External Word (Not in Oxford 3000/5000)
exceed	Oxford 5000 Expanded (B2)
excursion	External Word (Not in Oxford 3000/5000)
exhausted	External Word (Not in Oxford 3000/5000)
exit	Oxford 5000 Expanded (B2, C1)
faculty	Oxford 5000 Expanded (C1)
fairness	Oxford 5000 Expanded (C1)
fairy	External Word (Not in Oxford 3000/5000)
fantasy	Oxford 5000 Expanded (B2)
fashioned	External Word (Not in Oxford 3000/5000)
fate	Oxford 5000 Expanded (C1)
favor	Spelling/Format Variant
favorite	Spelling/Format Variant
feast	External Word (Not in Oxford 3000/5000)
ferry	External Word (Not in Oxford 3000/5000)
fever	Oxford 5000 Expanded (B2)
fi	External Word (Not in Oxford 3000/5000)
fiber	External Word (Not in Oxford 3000/5000)
filmmaker	External Word (Not in Oxford 3000/5000)
finished	External Word (Not in Oxford 3000/5000)
firefighter	Oxford 5000 Expanded (B2)
firework	Oxford 5000 Expanded (B2)
fisherman	External Word (Not in Oxford 3000/5000)
flavor	External Word (Not in Oxford 3000/5000)
flexibility	Oxford 5000 Expanded (C1)
focused	External Word (Not in Oxford 3000/5000)
folder	External Word (Not in Oxford 3000/5000)
forum	Oxford 5000 Expanded (B2)
foundation	Oxford 5000 Expanded (B2)
fragile	Oxford 5000 Expanded (C1)
gadget	External Word (Not in Oxford 3000/5000)
galaxy	External Word (Not in Oxford 3000/5000)
gardening	External Word (Not in Oxford 3000/5000)
garlic	External Word (Not in Oxford 3000/5000)
gathering	Oxford 5000 Expanded (C1)
gear	Spelling/Format Variant
gender	Oxford 5000 Expanded (B2)
geometry	External Word (Not in Oxford 3000/5000)
globe	Spelling/Format Variant
goodn	Spelling/Format Variant
google	External Word (Not in Oxford 3000/5000)
governor	Oxford 5000 Expanded (B2)
graduation	External Word (Not in Oxford 3000/5000)
grandma	External Word (Not in Oxford 3000/5000)
grandpa	External Word (Not in Oxford 3000/5000)
grape	External Word (Not in Oxford 3000/5000)
gratitude	External Word (Not in Oxford 3000/5000)
gravity	Oxford 5000 Expanded (C1)
gray	Spelling/Format Variant
grill	External Word (Not in Oxford 3000/5000)
grocery	Oxford 5000 Expanded (B2)
hacker	External Word (Not in Oxford 3000/5000)
haha	External Word (Not in Oxford 3000/5000)
handwriting	External Word (Not in Oxford 3000/5000)
harassment	Oxford 5000 Expanded (C1)
harbor	External Word (Not in Oxford 3000/5000)
harmless	External Word (Not in Oxford 3000/5000)
headphone	External Word (Not in Oxford 3000/5000)
heal	Spelling/Format Variant
helpless	External Word (Not in Oxford 3000/5000)
helps	External Word (Not in Oxford 3000/5000)
hike	Spelling/Format Variant
honestly	External Word (Not in Oxford 3000/5000)
honey	External Word (Not in Oxford 3000/5000)
hopeful	Oxford 5000 Expanded (C1)
hostel	External Word (Not in Oxford 3000/5000)
huh	External Word (Not in Oxford 3000/5000)
humanity	Oxford 5000 Expanded (C1)
humor	Spelling/Format Variant
hunger	Oxford 5000 Expanded (B2)
hydrated	External Word (Not in Oxford 3000/5000)
icy	External Word (Not in Oxford 3000/5000)
id	Spelling/Format Variant
identification	Oxford 5000 Expanded (C1)
imaginative	External Word (Not in Oxford 3000/5000)
impulsively	External Word (Not in Oxford 3000/5000)
inbox	External Word (Not in Oxford 3000/5000)
independence	Oxford 5000 Expanded (B2)
independently	External Word (Not in Oxford 3000/5000)
informed	External Word (Not in Oxford 3000/5000)
infrastructure	Oxford 5000 Expanded (B2)
inherit	Oxford 5000 Expanded (B2)
injection	Oxford 5000 Expanded (C1)
innovation	Oxford 5000 Expanded (B2)
inspiration	Oxford 5000 Expanded (C1)
inspiring	External Word (Not in Oxford 3000/5000)
instal	External Word (Not in Oxford 3000/5000)
installation	Oxford 5000 Expanded (B2)
instantly	Oxford 5000 Expanded (B2)
interact	Oxford 5000 Expanded (B2)
interchange	External Word (Not in Oxford 3000/5000)
investigator	Oxford 5000 Expanded (C1)
istanbul	External Word (Not in Oxford 3000/5000)
italian	External Word (Not in Oxford 3000/5000)
italy	External Word (Not in Oxford 3000/5000)
