Word	Level	Original_Line
involved	B1	involved
iron	B1	iron
jazz	A2	jazz
jeans	A1	jeans
jewellery	A2	jewellery
judgement	B2	judgement
justify	B2	justify
keen	B1	keen
kill	A2	kill
killing	B1	killing
kilometre	A1	kilometre
kiss	B1	kiss
knock	A2, B1	knock
label	B1	label
labour	B2	labour
lack	B1	lack
lady	A2	lady
largely	B2	largely
latest	B1, B2	latest
launch	B2	launch
lay	B1	lay
layer	B1	layer
leading	B1	leading
leaf	B1	leaf
league	B2	league
leather	B1	leather
length	B1	length
licence	B2	licence
lift	A2	lift
likely	A2	likely
limited	B2	limited
lion	A1	lion
lip	B1	lip
liquid	B1	liquid
listener	A2	listener
located	B1	located
long-term	B2	long-term
loose	B2	loose
lord	B2	lord
lorry	A2	lorry
lost	A2	lost
lower	B2	lower
luck	A2	luck
luxury	B1	luxury
mad	B1	mad
mail	A2	mail
mainly	B1	mainly
man	A1	man
married	A1	married
master	B2	master
matching	B2	matching
maths	A2	maths
maximum	B2	maximum
me	A1	me
means	B2	means
meanwhile	B1	meanwhile
melt	B2	melt
metre	A1	metre
minimum	B2	minimum
missing	A2	missing
mixed	B2	mixed
mixture	B1	mixture
modify	B2	modify
monkey	A2	monkey
moral	B2	moral
motor	B2	motor
multiple	B2	multiple
multiply	B2	multiply
mum	A1	mum
murder	B1	murder
musical	A2, B1	musical
mysterious	B2	mysterious
nail	B1	nail
narrative	B1	narrative
native	B1	native
naturally	B1	naturally
neighbour	A1	neighbour
neighbourhood	B1	neighbourhood
nerve	B2	nerve
nevertheless	B2	nevertheless
next to	A1	next to
nightmare	B2	nightmare
nine	A1	nine
nineteen	A1	nineteen
ninety	A1	ninety
no one	A1	no one
nobody	A1	nobody
none	A2	none
nor	B1	nor
normal	A2, B1	normal
obey	B2	obey
obtain	B2	obtain
odd	B1	odd
offence	B2	offence
offend	B2	offend
offensive	B2	offensive
ok	A1	OK
old-fashioned	B1	old-fashioned
onto	A2	onto
opponent	B2	opponent
opposed	B2	opposed
opposition	B2	opposition
original	A2, B1	original
originally	B1	originally
ought	B1	ought
o’clock	A1	o’clock
painter	A2	painter
pale	B1	pale
panel	B2	panel
pants	A2	pants
participant	B2	participant
particularly	B1	particularly
partly	B2	partly
passage	B2	passage
pension	B2	pension
pepper	A1	pepper
per cent	A2	per cent
percentage	B1	percentage
perhaps	A2	perhaps
permission	A2	permission
permit	B2	permit
persuade	B1	persuade
pet	A2	pet
petrol	A2	petrol
phase	B2	phase
phenomenon	B2	phenomenon
philosophy	B2	philosophy
phrase	A1	phrase
pig	A1	pig
pile	B2	pile
pilot	A2	pilot
pin	B1	pin
pitch	B2	pitch
plain	B2	plain
pleased	A2	pleased
plot	B1, B2	plot
plus	B1, B2	plus
poet	B1	poet
pointed	B2	pointed
poisonous	B1	poisonous
politics	B1	politics
popularity	B2	popularity
pose	B2	pose
possess	B2	possess
possession	A2	possession
potential	B2	potential
powder	B1	powder
practise	A1	practise
praise	B2	praise
pray	B1	pray
prayer	B1	prayer
prediction	B1	prediction
pregnant	B2	pregnant
prepared	B1	prepared
presence	B2	presence
preserve	B2	preserve
pretend	B1	pretend
primary	B1	primary
printer	A2	printer
printing	B1	printing
prisoner	B1	prisoner
private	B1	private
procedure	B2	procedure
programme	A1	programme
promise	A2	promise
properly	B1	properly
prospect	B2	prospect
protest	B1	protest
psychologist	B2	psychologist
pub	A2	pub
pull	A2, B1	pull
pure	B2	pure
quantity	A2	quantity
quarter	A1	quarter
quit	B1	quit
quotation	B1	quotation
quote	B1	quote
racing	B1	racing
raise	A2	raise
rank	B2	rank
rapid	B2	rapid
rapidly	B2	rapidly
rare	B1	rare
raw	B2	raw
reaction	B1	reaction
reception	A2	reception
recommendation	B1	recommendation
recycle	A2	recycle
reduction	B2	reduction
refer	A2	refer
refuse	A2	refuse
regard	B2	regard
regional	B2	regional
related	B1	related
relation	B1	relation
relatively	B2	relatively
religious	B1	religious
remark	B2	remark
remote	B1	remote
repeated	B1	repeated
replace	A2	replace
request	A2, B1	request
requirement	B2	requirement
reserve	B2	reserve
resist	B2	resist
resolve	B2	resolve
retired	B1	retired
rid	B2	rid
roll	B1	roll
romantic	B1	romantic
root	B2	root
rough	B1	rough
round	A2, B2	round
row	B1	row
royal	B1	royal
rub	B2	rub
rubber	B2	rubber
rude	A2	rude
runner	A2	runner
sandwich	A1	sandwich
satisfy	B2	satisfy
scale	B2	scale
scheme	B2	scheme
scream	B2	scream
sculpture	B1	sculpture
secondary	B1	secondary
seed	B1	seed
seek	B2	seek
selection	B2	selection
self	B2	self
sensitive	B2	sensitive
seriously	B1	seriously
settle	B2	settle
seven	A1	seven
seventeen	A1	seventeen
seventy	A1	seventy
severe	B2	severe
sex	B1	sex
shall	A2	shall
shallow	B2	shallow
shame	B2	shame
sheep	A1	sheep
shell	B1	shell
shelter	B2	shelter
shocked	B2	shocked
shoot	B1	shoot
shooting	B2	shooting
shut	A2	shut
significantly	B2	significantly
silver	A2	silver
similarity	B1	similarity
similarly	B1	similarly
sincere	B2	sincere
singing	A2	singing
six	A1	six
sixteen	A1	sixteen
sixty	A1	sixty
skiing	A2	skiing
slave	B2	slave
slight	B2	slight
slip	B2	slip
slope	B2	slope
snake	A1	snake
soap	A2	soap
soldier	A2	soldier
son	A1	son
sort	A2, B1	sort
specialist	B2	specialist
species	B2	species
specifically	B1	specifically
spelling	A1	spelling
spider	A2	spider
spiritual	B2	spiritual
split	B2	split
spoken	B1	spoken
spot	B1, B2	spot
stair	A2	stair
standard	B1	standard
stare	B2	stare
statue	B1	statue
status	B2	status
stick	B1	stick (piece of wood), stick (push into/attach)
sticky	B2	sticky
stiff	B2	stiff
strike	B2	strike
string	B1	string
stuff	B1, B2	stuff
stupid	A2	stupid
substance	B1	substance
suddenly	A2	suddenly
supporter	B1	supporter
suppose	A2	suppose
surely	B1	surely
surprising	A2	surprising
surround	B2	surround
surrounding	B2	surrounding
survey	A2, B2	survey
switch	B1, B2	switch
symbol	A2	symbol
t-shirt	A1	T-shirt
tail	B1	tail
talented	B1	talented
tear	B2	tear, tear
telephone	A1	telephone
temporary	B2	temporary
ten	A1	ten
thanks	A1	thanks
theatre	A1	theatre
theirs	B1	theirs
them	A1	them
theme	B1	theme
themselves	A2	themselves
therefore	B1	therefore
thick	A2	thick
thief	A2	thief
thirteen	A1	thirteen
thirty	A1	thirty
threat	B2	threat
thus	B2	thus
tie	A2	tie
till	B1	till
tin	B1	tin
tiny	B1	tiny
tone	B2	tone
total	B1	total
tourism	A2	tourism
towards	A2	towards
transition	B2	transition
translate	B1	translate
translation	B1	translation
traveller	A2	traveller
trend	B1	trend
tropical	B2	tropical
trousers	A1	trousers
tube	B1	tube
twelve	A1	twelve
twenty	A1	twenty
twin	A2	twin
typically	B1	typically
tyre	B1	tyre
ultimately	B2	ultimately
umbrella	A1	umbrella
unable	B1	unable
unemployed	B1	unemployed
unemployment	B1	unemployment
